"BirdID","StartTown","Year","EndTown","Disperser","Developed","Agriculture","Wetland","Grassland","Road_KM","X","Y","Ag_Indx","Connectance","Edg_Dns","Sex","Age","Flock.Size"
838,"Glenburn",2020,"Atkinson Twp",1,0.069350990217132,0.066141732283465,0.140062037699833,0.010164638511095,738.710515944328,511931.838510414,4972698.00977135,88.4487257021287,26.7522778426434,76.2689301368176,"F","J",14
839,"Glenburn",2020,"Corinth",1,0.069350990217132,0.066141732283465,0.140062037699833,0.010164638511095,738.710515944328,511931.838510414,4972698.00977135,88.4487257021287,26.7522778426434,76.2689301368176,"F","J",14
842,"Greenfield Twp",2020,"Greenfield Twp",0,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",15
844,"Greenfield Twp",2020,"Greenfield Twp",0,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",15
845,"Hampden",2020,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","A",21
848,"Hampden",2020,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","A",21
849,"Hampden",2020,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","A",21
850,"Hampden",2020,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","A",21
856,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"F","A",40
875,"Cherryfield",2020,"Cherryfield",0,0.037806391560658,0.040443686006826,0.19419795221843,0.03345485572448,204.320161628481,584122.525576544,4943121.34670928,87.4984303069921,27.3856078590978,82.1046321131594,"F","A",34
888,"Thorndike",2019,"Troy",1,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"F","A",40
890,"Thorndike",2019,"Troy",1,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"F","A",40
904,"Hampden",2019,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","A",NA
904,"Hampden",2019,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","J",10
911,"Frankfort",2019,"Monroe",1,0.046918405807217,0.077825085502897,0.061785440078174,0.030320374118797,340.317189643111,506221.943720885,4938341.11509434,89.375760556517,35.0744752564241,69.7360772003255,"F","A",30
925,"Monroe",2019,"Frankfort",1,0.040468042633586,0.080232060742167,0.113490535771575,0.026307346807828,463.844369142313,496369.383232202,4939312.32088828,89.4947715366939,33.6050280468203,69.6263582319019,"F","A",35
947,"Lincoln",2020,"Reed Plt",1,0.065736514854561,0.030778156965403,0.099333452114999,0.019603543348455,279.223070336115,542614.567811677,5022522.40149793,89.641570279562,29.6028476721593,68.9177180905777,"F","J",28
964,"Jonesboro",2019,"Centerville Twp",1,0.035603685760426,0.047743896646718,0.150660207086539,0.082150660207087,99.0075522620464,611912.434611317,4946884.05718829,89.1777300833696,27.5470284124856,70.0808284121046,"F","J",24
1006,"Poland",2019,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"F","A",60
1008,"Poland",2019,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"F","A",60
1009,"Poland",2019,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"F","A",60
1016,"Greenville",2020,"Corinth",1,0.058373357259725,0,0.073731989233124,0.035361798701641,60.0869198378832,457237.786686318,5034555.73655082,89.5728173170116,31.3792246624103,68.9234292947177,"F","J",18
1100,"Greenville",2020,"Greenville",0,0.058373357259725,0,0.073731989233124,0.035361798701641,60.0869198378832,457237.786686318,5034555.73655082,89.5728173170116,31.3792246624103,68.9234292947177,"M","J",25
1104,"Greenville",2020,"Greenville",0,0.058373357259725,0,0.073731989233124,0.035361798701641,60.0869198378832,457237.786686318,5034555.73655082,89.5728173170116,31.3792246624103,68.9234292947177,"M","J",25
1201,"Thorndike",2020,"Belfast",1,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","A",15
1208,"Thorndike",2020,"Thorndike",0,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","A",15
